Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790407006,50,,Aggregated,29.300000,25.100000,4,5,7,10,34,2200,2600,2900,3600,3600,3600,463,399,4,172.91182324838948,1.8005289994107443,3591.6835959997115,86.35637149028078
1790407007,50,,Aggregated,29.900000,25.400000,4,5,7,9,31,2200,2600,2900,3600,3600,3600,492,422,4,168.85621214228587,1.8005289994107443,3591.6835959997115,87.01626016260163
1790407008,50,,Aggregated,28.900000,24.000000,4,5,6,9,31,2200,2700,2900,3600,3600,3600,519,443,4,176.13779935068456,1.8005289994107443,3591.6835959997115,87.6820809248555
1790407009,50,,Aggregated,29.100000,23.800000,4,5,6,9,31,2200,2700,2900,3600,3600,3600,549,468,4,171.51443452095612,1.8005289994107443,3591.6835959997115,87.85974499089254
1790407010,50,,Aggregated,30.000000,24.300000,4,5,6,8,30,2200,2700,2900,3600,3600,3600,581,492,4,175.54773346128448,1.8005289994107443,3591.6835959997115,88.76936316695353
1790407011,50,,Aggregated,30.200000,24.200000,4,5,6,8,30,2300,2600,2900,3600,3600,3600,607,510,4,176.65006128666343,1.8005289994107443,3591.6835959997115,89.82042833607908
1790407012,50,,Aggregated,29.700000,23.900000,3,4,6,8,29,2300,2600,2900,3600,3600,3600,640,540,3,171.47005719376253,1.8005289994107443,3591.6835959997115,89.2421875
1790407013,50,,Aggregated,29.200000,23.000000,4,4,6,8,28,2300,2600,2900,3600,3600,3600,673,567,4,170.89323782170365,1.8005289994107443,3591.6835959997115,89.42347696879644
1790407014,50,,Aggregated,30.100000,23.800000,3,4,6,7,28,2300,2700,2900,3600,3600,3600,702,589,3,171.96302100142904,1.8005289994107443,3591.6835959997115,89.98005698005699
1790407015,50,,Aggregated,29.500000,23.500000,3,4,6,7,28,2300,2700,2900,3600,3600,3600,729,606,3,173.3462459670853,1.8005289994107443,3591.6835959997115,91.22633744855968
1790407016,50,,Aggregated,30.200000,24.200000,3,4,6,7,28,2300,2700,2900,3600,3600,3600,760,628,3,173.2592460579026,1.8005289994107443,3591.6835959997115,92.0078947368421
1790407017,50,,Aggregated,29.700000,23.400000,3,4,6,7,26,2300,2700,2900,3600,3600,3600,794,653,3,172.47844590932934,1.8005289994107443,3591.6835959997115,92.62594458438288
1790407018,50,,Aggregated,30.400000,23.600000,3,4,5,7,25,2300,2700,2800,3600,3600,3600,825,673,3,172.45959662546113,1.8005289994107443,3591.6835959997115,93.68242424242425
1790407019,50,,Aggregated,30.400000,23.300000,3,4,5,7,25,2300,2700,2800,3600,3600,3600,849,691,3,170.7074877526593,1.8005289994107443,3591.6835959997115,93.97173144876325
1790407020,50,,Aggregated,29.900000,22.500000,3,4,5,7,24,2300,2700,2800,3600,3600,3600,883,720,3,170.1822551347745,1.8005289994107443,3591.6835959997115,93.72480181200453
1790407021,50,,Aggregated,30.000000,22.400000,3,4,5,7,24,2300,2700,2800,3600,3600,3600,916,744,3,170.0301331091782,1.8005289994107443,3591.6835959997115,94.22598253275109
1790407022,50,,Aggregated,30.200000,22.600000,3,4,5,6,22,2300,2700,2800,3600,3600,3600,942,765,3,171.07224999470083,1.8005289994107443,3591.6835959997115,94.24097664543524
1790407023,50,,Aggregated,30.200000,22.800000,3,4,5,6,22,2300,2700,2800,3600,3600,3600,976,792,3,170.3973385461118,1.8005289994107443,3591.6835959997115,94.34323770491804
1790407024,50,,Aggregated,30.000000,22.300000,3,4,5,6,21,2300,2700,2800,3200,3600,3600,1001,811,3,171.19244169631133,1.8005289994107443,3591.6835959997115,94.53946053946053
1790407025,50,,Aggregated,30.500000,22.800000,3,4,5,6,21,2400,2700,2800,3200,3600,3600,1033,836,3,170.98540028945743,1.8005289994107443,3591.6835959997115,94.69022265246853
1790407026,50,,Aggregated,30.300000,22.400000,3,4,5,6,21,2400,2700,2800,3200,3600,3600,1063,859,3,171.23461350612232,1.8005289994107443,3591.6835959997115,94.89463781749765
1790407027,50,,Aggregated,30.300000,22.600000,3,4,5,6,20,2400,2700,2800,3200,3600,3600,1094,880,3,171.22260798446982,1.8005289994107443,3591.6835959997115,95.48903107861061
1790407028,50,,Aggregated,30.000000,22.800000,3,4,5,6,20,2400,2600,2800,3200,3600,3600,1117,897,3,172.40949620144366,1.8005289994107443,3591.6835959997115,95.70367054610564
1790407029,50,,Aggregated,29.700000,22.600000,3,4,5,6,19,2400,2600,2800,3200,3600,3600,1150,921,3,169.7094015687053,1.8005289994107443,3591.6835959997115,96.05043478260869
1790407030,50,,Aggregated,30.400000,23.300000,3,4,5,6,18,2400,2600,2800,3200,3600,3600,1178,941,3,170.28802636333623,1.8005289994107443,3591.6835959997115,96.37436332767402
1790407031,50,,Aggregated,29.600000,22.700000,3,4,5,6,17,2400,2700,2800,3200,3600,3600,1212,966,3,170.13248916914813,1.8005289994107443,3591.6835959997115,96.67244224422443
1790407032,50,,Aggregated,30.000000,22.700000,3,4,5,6,16,2400,2700,2800,3200,3600,3600,1243,988,3,170.26019124216222,1.8005289994107443,3591.6835959997115,97.0249396621078
1790407033,50,,Aggregated,29.700000,22.300000,3,4,5,6,16,2400,2700,2800,3200,3600,3600,1273,1008,3,171.75214115240408,1.8005289994107443,3591.6835959997115,97.50510604870385
1790407034,50,,Aggregated,29.900000,22.300000,3,4,5,6,16,2400,2600,2800,3200,3600,3600,1301,1025,3,171.44418905765366,1.8005289994107443,3591.6835959997115,98.14527286702537
1790407035,50,,Aggregated,29.400000,21.600000,3,4,5,6,15,2300,2600,2800,3200,3600,3600,1332,1047,3,170.83329764264857,1.8005289994107443,3591.6835959997115,98.43093093093093
1790407036,50,,Aggregated,29.600000,21.500000,3,4,5,6,15,2300,2600,2800,3200,3600,3600,1366,1069,3,170.13604889605327,1.8005289994107443,3591.6835959997115,98.98243045387994
