Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790407520,50,,Aggregated,29.300000,22.400000,7,9,11,12,53,2300,2600,2600,3000,3000,3000,718,565,7,208.61481791084108,1.9097229996987153,3031.8035699992834,98.44986072423399
1790407521,50,,Aggregated,28.500000,21.600000,7,9,11,12,52,2300,2600,2800,3000,3000,3000,751,585,7,210.77505335816582,1.9097229996987153,3031.8035699992834,99.72569906790946
1790407522,50,,Aggregated,29.700000,21.700000,7,9,10,12,49,2300,2600,2800,3000,3000,3000,785,608,7,208.53370398723956,1.9097229996987153,3031.8035699992834,100.43312101910828
1790407523,50,,Aggregated,29.000000,20.700000,7,9,10,12,52,2300,2600,2700,3000,3000,3000,807,625,7,212.34792311150034,1.9097229996987153,3031.8035699992834,100.43990086741016
1790407524,50,,Aggregated,29.000000,19.900000,7,9,10,12,52,2300,2600,2700,3000,3000,3000,837,645,7,213.0770198362919,1.9097229996987153,3031.8035699992834,101.06810035842294
1790407525,50,,Aggregated,29.500000,20.000000,7,9,10,12,49,2300,2600,2700,3000,3000,3000,867,666,7,211.04186713491825,1.9097229996987153,3031.8035699992834,101.4475201845444
1790407526,50,,Aggregated,29.600000,20.400000,7,9,10,12,47,2300,2600,2700,3000,3000,3000,896,690,7,209.7035157745262,1.9097229996987153,3031.8035699992834,101.13616071428571
1790407527,50,,Aggregated,29.500000,20.300000,7,9,10,12,49,2300,2600,2700,3000,3000,3000,927,711,7,212.74937229339145,1.9097229996987153,3031.8035699992834,101.63646170442287
1790407528,50,,Aggregated,29.700000,20.100000,7,9,10,11,49,2300,2600,2700,3000,3000,3000,952,726,7,213.4295150945114,1.9097229996987153,3031.8035699992834,102.33193277310924
1790407529,50,,Aggregated,29.600000,19.900000,7,9,10,11,47,2300,2600,2700,3000,3000,3000,981,747,7,212.1679087981385,1.9097229996987153,3031.8035699992834,102.5137614678899
1790407530,50,,Aggregated,28.900000,19.600000,7,9,10,11,47,2300,2600,2700,3000,3000,3000,1012,768,7,213.25740939127817,1.9097229996987153,3031.8035699992834,102.93379446640316
1790407531,50,,Aggregated,29.900000,20.100000,7,9,10,11,47,2300,2600,2700,3000,3000,3000,1041,789,7,211.93661850717893,1.9097229996987153,3031.8035699992834,103.08165225744476
1790407532,50,,Aggregated,29.100000,20.400000,7,9,10,11,47,2300,2600,2700,3000,3000,3000,1069,809,7,210.87504021606406,1.9097229996987153,3031.8035699992834,103.2553788587465
1790407533,50,,Aggregated,29.200000,20.300000,7,9,10,11,47,2300,2600,2700,3000,3000,3000,1099,835,7,209.73179098905598,1.9097229996987153,3031.8035699992834,102.76888080072793
1790407534,50,,Aggregated,28.800000,20.300000,7,9,10,11,47,2300,2600,2700,3000,3000,3000,1127,851,7,213.01852589705013,1.9097229996987153,3031.8035699992834,103.52085181898846
1790407535,50,,Aggregated,28.500000,20.200000,7,9,10,11,47,2300,2600,2700,3000,3000,3000,1153,870,7,212.1984376201004,1.9097229996987153,3031.8035699992834,103.60277536860364
1790407536,50,,Aggregated,28.300000,20.100000,7,9,10,11,47,2300,2600,2700,3000,3000,3000,1188,892,7,211.80752079795823,1.9097229996987153,3031.8035699992834,104.18518518518519
1790407537,50,,Aggregated,29.100000,20.700000,7,9,10,11,47,2300,2600,2700,3000,3000,3000,1217,909,7,212.37671177976586,1.9097229996987153,3031.8035699992834,104.81183237469186
